trial,list,itemid,item,type,condition,grammar,modality,verb_type,framing,picture,linguistic,critical,question,correct_answer
pr1,pr,pr1,pr1,practice,practice,practice,linguistic,practice,"Tomorrow morning, Alissa will",,work in the lab all day,"Although Jamie will not be there, she can assist her remotely.",Will Alissa work in the lab tomorrow?,Y
pr2,pr,pr2,pr2,practice,practice,practice,visual,practice,"Last weekend, Magdalena was ",pr2_wipingwindow_w.png,,Dorothy was_too because she had_to remove smudges_ from_the_glass.,Was it Dorothy who had to remove smudges from the glass?,Y
pr3,pr,pr3,pr3,practice,practice,practice,linguistic,practice,"Yesterday, George was",,scuba-dividing,Colin was_doing_it_too because he wanted_to see many_fish.,Was it Martin who was scuba-diving yesterday?,N
1,1,fl1,253,filler,filler,filler,visual,filler,"Later today, Sarah is ",f1_experimentingrecipe_w.png,,"After she’s done, Alex will taste-test the results.",Will Sarah taste-test the results?,N
2,1,a1,1,critical,condition1,ellipsis,visual,TRN,"Last Friday, Joanna was",c1_knitting_w.png,,Elizabeth was_too because she wanted_to entertain herself.,,
3,1,fl25,277,filler,filler,filler,linguistic,filler,"Tomorrow, Lucas will ",,grill vegetables at the barbecue,"Before starting, Grace will marinate hers for extra flavor.",Will Grace marinate her vegetables before Lucas grills them?,Y
4,1,fl2,254,filler,filler,filler,visual,filler,"This afternoon, Greg is ",f2_learningtoknit_m.png,,"Although it’s his first time, Aaron is confident he'll do well.",Is Aaron learning to knit a scarf? ,N
5,1,b2,44,critical,condition2,ellipsis,linguistic,TRN,"Yesterday, Lucas was",,painting a portrait,Nathan was_too because he wanted_to be productive.,,
6,1,fl26,278,filler,filler,filler,linguistic,filler,"Today, Lily is ",,meditating by the lake,"Nevertheless, Liam prefers to meditate indoors where it’s quieter.",Is Liam meditating by the lake?,N
7,1,c3,87,critical,condition3,canonical,visual,TRN,"This morning, Maria was",c3_watering_w.png,,Kate was_cleaning because she needed_to be responsible.,,
8,1,fl3,255,filler,filler,filler,visual,filler,"Tomorrow, Olivia will",f3_runningerrands_w.png,,"Before she leaves, Liam will make a list to share with her.",Will Liam make a list before Olivia leaves?,Y
9,1,d4,130,critical,condition4,canonical,linguistic,TRN,"On Monday, John was",,reading a book,Oliver was_studying because he wanted_to learn history.,,
